name,price,speed,modules,color,first_word_latency,cas_latency
Corsair Dominator Platinum RGB 64 GB,224.99,"55,600","2,32",White,14.286,40
TEAMGROUP T-Force Vulcan 32 GB,92.99,"55,600","2,16",Black,11.429,32
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"55,600","2,16",Black,11.429,32
Corsair Vengeance RGB Pro 64 GB,149.99,"43,200","2,32",Black,10,16
Kingston FURY Beast RGB 16 GB,81.99,"56,000","2,8",Black,13.333,40
Corsair Vengeance RGB 64 GB,207.99,"56,000","2,32",Black,13.333,40
Corsair Vengeance LPX 128 GB,264.99,"43,200","4,32",Black / Yellow,10,16
TEAMGROUP T-Force Delta RGB 32 GB,121.99,"57,200","2,16",Black / White,9.444,34
TEAMGROUP T-Force Delta RGB 16 GB,46.99,"43,200","2,8",Black,10,16
Kingston KVR1333D3N9HK2/8G 8 GB,49.99,"31,333","2,4",Green,13.503,9
Corsair Dominator Titanium 48 GB,279.99,"57,600","2,24",Black,9.474,36
Corsair Vengeance RGB 64 GB,279.99,"56,000","4,16",Black,12,36
TEAMGROUP Elite 16 GB,39.99,"54,800","1,16",Black,16.667,40
Corsair Vengeance LPX 16 GB,54.99,"43,600","2,8",Black / Yellow,8.889,16
G.Skill Trident Z Royal 128 GB,2265.13,"43,200","4,32",Gold,10,16
Corsair Vengeance LPX 32 GB,92.99,"43,600","4,8",Black / Yellow,10,18
Corsair Vengeance 96 GB,269.99,"55,200","2,48",Black,14.615,38
TEAMGROUP T-Create Expert 32 GB,119.99,"57,200","2,16",Black,9.444,34
G.Skill Trident Z RGB 256 GB,886.87,"43,600","8,32",,8.889,16
Kingston FURY Beast 32 GB,84.99,"43,600","2,16",Black,10,18
G.Skill Trident Z Neo 16 GB,66.98,"43,600","2,8",Black / Silver,8.889,16
Lexar THOR 32 GB,76.03,"43,200","2,16",Black,10,16
OLOy MD4U0836180BHKDA 16 GB,34.97,"43,600","2,8",Black,10,18
Corsair Dominator Titanium 48 GB,249.99,"57,200","2,24",White,10,36
Crucial CT16G4DFRA32A 16 GB,33.99,"43,200","1,16",Green,13.75,22
Corsair Dominator Titanium 64 GB,359.99,"56,400","4,16",Black,10,32
TEAMGROUP Elite 16 GB,29.99,"43,200","1,16",Black,13.75,22
